component	file	line	marker	text
patient	patient-app/app/(auth)/register.tsx	319	contract	 <TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	324	contract	 <TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	331	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/login')}>
patient	patient-app/app/(auth)/reset-password.tsx	16	contract	import { apiFetch } from "../../src/utils/api";
patient	patient-app/app/(auth)/reset-password.tsx	33	contract	 await apiFetch("/auth/reset-password", {
patient	patient-app/app/(auth)/reset-password.tsx	72	contract	 <Button
patient	patient-app/app/(auth)/reset-password.tsx	76	contract	 onPress={() => router.replace("/(auth)/login")}
patient	patient-app/app/(auth)/reset-password.tsx	101	contract	 <IconButton icon="back" onPress={() => router.back()} />
patient	patient-app/app/(auth)/reset-password.tsx	131	contract	 <Button
patient	patient-app/app/(auth)/reset-password.tsx	136	contract	 onPress={handleReset}
patient	patient-app/app/(auth)/terms.tsx	36	contract	 onPress={() => router.back()}
patient	patient-app/app/(auth)/welcome.tsx	22	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(auth)/welcome.tsx	24	contract	const { width } = Dimensions.get('window');
patient	patient-app/app/(auth)/welcome.tsx	32	contract	 const res = await apiFetch('/auth/guest', { method: 'POST', body: JSON.stringify({}) });
patient	patient-app/app/(auth)/welcome.tsx	35	contract	 router.push('/(tabs)');
patient	patient-app/app/(auth)/welcome.tsx	48	contract	 if (screen === 'sH') router.push('/(tabs)');
patient	patient-app/app/(auth)/welcome.tsx	49	contract	 else if (screen === 's86') router.push('/(auth)/register');
patient	patient-app/app/(auth)/welcome.tsx	50	contract	 else if (screen === 's85') router.push('/(auth)/login');
patient	patient-app/app/(auth)/welcome.tsx	104	contract	 onPress={toggleDark}
patient	patient-app/app/(auth)/welcome.tsx	112	contract	 onPress={() => setLangModalVisible(true)}
patient	patient-app/app/(auth)/welcome.tsx	122	contract	 <TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)', justifyContent: 'center', alignItems: 'center' }} activeOpacity={1} onPress={() => setLangModalVisible(fals
patient	patient-app/app/(auth)/welcome.tsx	127	contract	 style={{ paddingVertical: 12, paddingHorizontal: 16, flexDirection: isRTL ? 'row-reverse' : 'row', justifyContent: 'space-between', alignItems: 'center', borderRadius: 8, backgrou
patient	patient-app/app/(auth)/welcome.tsx	152	contract	 onPress={handleGuestLogin}
patient	patient-app/app/(auth)/welcome.tsx	160	contract	 onPress={() => go('s86')}
patient	patient-app/app/(auth)/welcome.tsx	168	contract	 onPress={() => go('s85')}
patient	patient-app/app/(auth)/welcome.tsx	185	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	191	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	197	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/welcome.tsx	202	contract	 <TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(onboarding)/index.tsx	18	contract	const { width, height } = Dimensions.get('window');
patient	patient-app/app/(onboarding)/index.tsx	87	contract	 router.replace('/(onboarding)/language');
patient	patient-app/app/(onboarding)/index.tsx	97	contract	 router.replace('/(onboarding)/language');
patient	patient-app/app/(onboarding)/index.tsx	167	contract	 <TouchableOpacity onPress={handleSkip} style={styles.skipBtn}>
patient	patient-app/app/(onboarding)/index.tsx	202	contract	 <TouchableOpacity onPress={handleNext} activeOpacity={0.85}>
patient	patient-app/app/(onboarding)/language.tsx	40	contract	 onPress={() => setSelected(l.code)}
patient	patient-app/app/(onboarding)/language.tsx	58	contract	 <Button label="متابعة" variant="gradient" size="lg" iconRight="chevronLeft" onPress={() => { setLang(selected); router.replace('/(auth)/welcome'); }} />
patient	patient-app/app/(onboarding)/permissions.tsx	60	contract	 if (next.has(id)) next.delete(id);
patient	patient-app/app/(onboarding)/permissions.tsx	74	contract	 router.replace("/(auth)/welcome");
patient	patient-app/app/(onboarding)/permissions.tsx	101	contract	 onPress={() => handleGrant(perm.id)}
patient	patient-app/app/(onboarding)/permissions.tsx	168	contract	 <Button
patient	patient-app/app/(onboarding)/permissions.tsx	173	contract	 onPress={handleContinue}
patient	patient-app/app/(onboarding)/permissions.tsx	175	contract	 <TouchableOpacity onPress={handleContinue} style={{ marginTop: 8 }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	21	contract	import { apiFetch } from '../../../src/utils/api';
patient	patient-app/app/(tabs)/consultations/index.tsx	29	contract	 router.push(`/consultations/doctor/${params?.doc?.id || params?.id || 'd1'}`);
patient	patient-app/app/(tabs)/consultations/index.tsx	31	contract	 router.push('/ai-assistant');
patient	patient-app/app/(tabs)/consultations/index.tsx	83	contract	 const data = await apiFetch('/providers?type=doctor');
patient	patient-app/app/(tabs)/consultations/index.tsx	193	contract	 onPress={() => setShowFilter(true)}
patient	patient-app/app/(tabs)/consultations/index.tsx	204	contract	 <TouchableOpacity key={vt.id} activeOpacity={0.8} style={[styles.vtBtn, { backgroundColor: isActive ? resolveColor('var(--p)') : colors.s, borderColor: isActive ? resolveColor('va
patient	patient-app/app/(tabs)/consultations/index.tsx	214	contract	 <TouchableOpacity style={[styles.segmentBtn, activePay === 'الكل' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('الكل')}>
patient	patient-app/app/(tabs)/consultations/index.tsx	217	contract	 <TouchableOpacity style={[styles.segmentBtn, activePay === 'كاش' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('كاش')}>
patient	patient-app/app/(tabs)/consultations/index.tsx	220	contract	 <TouchableOpacity style={[styles.segmentBtn, activePay === 'تأمين' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => { setActivePay('تأمين'); setStepIns(
patient	patient-app/app/(tabs)/consultations/index.tsx	234	contract	 <TouchableOpacity key={i} activeOpacity={0.7} onPress={() => setActiveSpec(sp[0])} style={[styles.specBtn, { backgroundColor: isActive ? resolveColor(sp[3]) : colors.s, borderColo
patient	patient-app/app/(tabs)/consultations/index.tsx	254	contract	 <TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, { 
patient	patient-app/app/(tabs)/consultations/index.tsx	320	contract	 <TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	336	contract	 <TouchableOpacity key={i} activeOpacity={0.9} onPress={() => router.push(`/consultations/offer/${i}`)} style={[styles.promoCard, { backgroundColor: colors.s, borderColor: colors.b
patient	patient-app/app/(tabs)/consultations/index.tsx	364	contract	 <TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, { 
patient	patient-app/app/(tabs)/consultations/index.tsx	430	contract	 <TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	443	contract	 <TouchableOpacity onPress={() => { setFilterSort('الأعلى تقييماً'); setFilterTitle('الكل'); setFilterGender('الكل'); setFilterPrice('الكل'); setFilterAvai
patient	patient-app/app/(tabs)/consultations/index.tsx	447	contract	 <TouchableOpacity onPress={() => setShowFilter(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	456	contract	 <TouchableOpacity key={t} onPress={() => setFilterSort(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterSort === t ? resolveColor(
patient	patient-app/app/(tabs)/consultations/index.tsx	465	contract	 <TouchableOpacity key={t} onPress={() => setFilterTitle(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterTitle === t ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	474	contract	 <TouchableOpacity key={g} onPress={() => setFilterGender(g)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterGender === g ? resolveCo
patient	patient-app/app/(tabs)/consultations/index.tsx	483	contract	 <TouchableOpacity key={p} onPress={() => setFilterPrice(p)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterPrice === p ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	492	contract	 <TouchableOpacity key={a} onPress={() => setFilterAvail(a)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterAvail === a ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	498	contract	 <TouchableOpacity style={{ backgroundColor: resolveColor('var(--p)'), padding: 16, borderRadius: 16, alignItems: 'center', marginTop: 16 }} onPress={() => setShowFilter(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	513	contract	 <TouchableOpacity onPress={() => setStepIns(1)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	520	contract	 <TouchableOpacity onPress={() => setShowInsModal(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	530	contract	 onPress={() => { setInsCompany(comp); if (comp === 'الكل') { setInsClass('الكل'); setShowInsModal(false); } else { setStepIns(2); setInsClass(saudiInsurances[comp][0]); } 
patient	patient-app/app/(tabs)/consultations/index.tsx	539	contract	 onPress={() => { setInsClass(cls); setShowInsModal(false); }} style={{ padding: 16, backgroundColor: insClass === cls ? resolveColor('var(--p)') : colors.s, borderRadius: 12, marg
patient	patient-app/app/(tabs)/consultations/index.tsx	582	contract	 style={{ backgroundColor: resolveColor('var(--p)'), width: '100%', paddingVertical: 16, borderRadius: 16, alignItems: 'center', marginTop: 12 }} onPress={() => setShowOnboarding(f
patient	patient-app/app/(tabs)/diagnostics.tsx	30	contract	const { width } = Dimensions.get('window');
