file	line	method	endpoint	normalized	classification	backend_candidates
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	152	POST	/medicines/admin/catalog	/medicines/admin/catalog	PASS_MATCHED	POST /medicines/admin/catalog (backend/src/modules/medicines/medicines.controller.ts:247)|POST /medicines/admin/catalog (backend/src/modules/medicines/medicines.controller.ts:305)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	154	PATCH	/medicines/admin/catalog/${editId}	/medicines/admin/catalog/:id	PASS_MATCHED	PATCH /medicines/admin/catalog/:id (backend/src/modules/medicines/medicines.controller.ts:223)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	167	POST	/medicines/admin/catalog/${m.id}/delete	/medicines/admin/catalog/:id/delete	PASS_MATCHED	POST /medicines/admin/catalog/:id/delete (backend/src/modules/medicines/medicines.controller.ts:254)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	176	POST	/medicines/admin/catalog/${m.id}/availability	/medicines/admin/catalog/:id/availability	PASS_MATCHED	POST /medicines/admin/catalog/:id/availability (backend/src/modules/medicines/medicines.controller.ts:152)
admin-app/web-admin/src/pages/admin/medicines-catalog.tsx	201	POST	/medicines/admin/change-requests/${id}/${action}	/medicines/admin/change-requests/:id/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/notification-center.tsx	36	GET	/admin/notification-center/stats/overview	/admin/notification-center/stats/overview	PASS_MATCHED	GET /admin/notification-center/stats/overview (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:350)
admin-app/web-admin/src/pages/admin/notification-center.tsx	37	GET	/admin/notification-center/segments	/admin/notification-center/segments	PASS_MATCHED	GET /admin/notification-center/segments (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:346)
admin-app/web-admin/src/pages/admin/notification-center.tsx	38	GET	/admin/notification-center/campaigns?page=${page}&limit=15	/admin/notification-center/campaigns	PASS_MATCHED	GET /admin/notification-center/campaigns (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:362)
admin-app/web-admin/src/pages/admin/notification-center.tsx	64	POST	/admin/notification-center/campaigns	/admin/notification-center/campaigns	PASS_MATCHED	POST /admin/notification-center/campaigns (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:358)
admin-app/web-admin/src/pages/admin/notification-center.tsx	67	POST	/admin/notification-center/broadcasts	/admin/notification-center/broadcasts	PASS_MATCHED	POST /admin/notification-center/broadcasts (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:354)
admin-app/web-admin/src/pages/admin/notification-center.tsx	81	POST	/admin/notification-center/campaigns/${id}/send	/admin/notification-center/campaigns/:id/send	PASS_MATCHED	POST /admin/notification-center/campaigns/:id/send (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:372)
admin-app/web-admin/src/pages/admin/notification-center.tsx	87	DELETE	/admin/notification-center/campaigns/${id}	/admin/notification-center/campaigns/:id	PASS_MATCHED	DELETE /admin/notification-center/campaigns/:id (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:376)
admin-app/web-admin/src/pages/admin/notification-center.tsx	92	POST	/admin/notification-center/retarget/run	/admin/notification-center/retarget/run	PASS_MATCHED	POST /admin/notification-center/retarget/run (backend/src/modules/admin-notification-center/admin-notification-center.module.ts:380)
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	15	POST	/admin/nursing/requests	/admin/nursing/requests	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/nursing-portal.tsx	29	POST	/admin/nursing/requests/${requestId}/assign	/admin/nursing/requests/:id/assign	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/order-detail.tsx	26	GET	/admin/command-center/order/${encodeURIComponent(kind)}/${encodeURIComponent(id)}	/admin/command-center/order/:id/:id	PASS_MATCHED	GET /admin/command-center/order/:kind/:id (backend/src/modules/admin-command-center/admin-command-center.module.ts:153)
admin-app/web-admin/src/pages/admin/payouts.tsx	34	POST	/admin/finance/withdrawals/pending	/admin/finance/withdrawals/pending	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/payouts.tsx	48	POST	/admin/finance/withdrawals/${id}/execute	/admin/finance/withdrawals/:id/execute	PASS_MATCHED	POST /admin/finance/withdrawals/:id/execute (backend/src/modules/admin-web-core/controllers/finance.controller.ts:70)
admin-app/web-admin/src/pages/admin/payouts.tsx	58	POST	/admin/finance/withdrawals/${id}/reject	/admin/finance/withdrawals/:id/reject	PASS_MATCHED	POST /admin/finance/withdrawals/:id/reject (backend/src/modules/admin-web-core/controllers/finance.controller.ts:119)
admin-app/web-admin/src/pages/admin/pharmacy-procurement.tsx	40	GET	/admin/extended-operations/procurement/pending	/admin/extended-operations/procurement/pending	PASS_MATCHED	GET /admin/extended-operations/procurement/pending (backend/src/modules/admin-web-core/controllers/admin-extended-operations.controller.ts:12)
admin-app/web-admin/src/pages/admin/pharmacy-procurement.tsx	63	PATCH	/admin/extended-operations/issue-quote/${selected._id || selected.id}	/admin/extended-operations/issue-quote/:id	PASS_MATCHED	PATCH /admin/extended-operations/issue-quote/:procurementId (backend/src/modules/admin-web-core/controllers/admin-extended-operations.controller.ts:22)
admin-app/web-admin/src/pages/admin/provider-audits.tsx	13	POST	/admin/provider-deltas	/admin/provider-deltas	PASS_MATCHED	POST /admin/provider-deltas (backend/src/modules/admin/admin.controller.ts:578)
admin-app/web-admin/src/pages/admin/provider-audits.tsx	22	POST	/admin/provider-deltas/${id}/approve	/admin/provider-deltas/:id/approve	PASS_MATCHED	POST /admin/provider-deltas/:deltaId/approve (backend/src/modules/admin/admin.controller.ts:584)
admin-app/web-admin/src/pages/admin/provider-audits.tsx	32	POST	/admin/provider-deltas/${id}/reject	/admin/provider-deltas/:id/reject	PASS_MATCHED	POST /admin/provider-deltas/:deltaId/reject (backend/src/modules/admin/admin.controller.ts:598)
admin-app/web-admin/src/pages/admin/security.tsx	30	POST	/auth/passkey/devices	/auth/passkey/devices	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/security.tsx	45	POST	/auth/passkey/enroll/options	/auth/passkey/enroll/options	PASS_MATCHED	POST /auth/passkey/enroll/options (backend/src/modules/auth/passkey.controller.ts:19)
admin-app/web-admin/src/pages/admin/security.tsx	48	POST	/auth/passkey/enroll/verify	/auth/passkey/enroll/verify	PASS_MATCHED	POST /auth/passkey/enroll/verify (backend/src/modules/auth/passkey.controller.ts:24)
admin-app/web-admin/src/pages/admin/security.tsx	69	DELETE	/auth/passkey/devices/${encodeURIComponent(credentialId)}	/auth/passkey/devices/:id	PASS_MATCHED	DELETE /auth/passkey/devices/:credentialId (backend/src/modules/auth/passkey.controller.ts:36)
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	23	POST	/medicines/admin/shortage-reports?status=${tab}&page=${page}&limit=20	/medicines/admin/shortage-reports	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	40	POST	/medicines/admin/shortage-reports/${reportId}/${action}	/medicines/admin/shortage-reports/:id/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	54	POST	/medicines/admin/catalog/${medicineId}/clear-shortage-badge	/medicines/admin/catalog/:id/clear-shortage-badge	PASS_MATCHED	POST /medicines/admin/catalog/:id/clear-shortage-badge (backend/src/modules/medicines/medicines.controller.ts:145)
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	42	POST	/emergency/active	/emergency/active	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	63	POST	/emergency/${id}/assign	/emergency/:id/assign	PASS_MATCHED	POST /emergency/:id/assign (backend/src/modules/emergency/emergency.controller.ts:64)
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	70	POST	/emergency/${id}/resolve	/emergency/:id/resolve	PASS_MATCHED	POST /emergency/:id/resolve (backend/src/modules/emergency/emergency.controller.ts:77)
admin-app/web-admin/src/pages/admin/support-tickets.tsx	30	PATCH	/support/admin/requests${filter ?	/support/admin/requests${filter 	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/support-tickets.tsx	43	PATCH	/support/admin/requests/${id}	/support/admin/requests/:id	PASS_MATCHED	PATCH /support/admin/requests/:id (backend/src/modules/support/support.controller.ts:20)
admin-app/web-admin/src/pages/admin/support-tickets.tsx	51	POST	/support/requests/${id}/reply	/support/requests/:id/reply	PASS_MATCHED	POST /support/requests/:id/reply (backend/src/modules/support/support.controller.ts:16)
admin-app/web-admin/src/pages/admin/users-management.tsx	58	GET	/admin/users/${id}/overview?days=${days}	/admin/users/:id/overview	PASS_MATCHED	GET /admin/users/:userId/overview (backend/src/modules/admin/admin.controller.ts:139)
admin-app/web-admin/src/pages/admin/users-management.tsx	64	GET	/admin/providers/by-user/${id}	/admin/providers/by-user/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/users-management.tsx	75	GET	/admin/users/${viewUser.id || viewUser._id}/overview?days=${days}	/admin/users/:id/overview	PASS_MATCHED	GET /admin/users/:userId/overview (backend/src/modules/admin/admin.controller.ts:139)
admin-app/web-admin/src/pages/admin/users-management.tsx	86	GET	/admin/users?${params.toString()}	/admin/users	PASS_MATCHED	GET /admin/users (backend/src/modules/admin/admin.controller.ts:272)
admin-app/web-admin/src/pages/admin/users-management.tsx	109	POST	/admin/users/${id}/ban	/admin/users/:id/ban	PASS_MATCHED	POST /admin/users/:userId/ban (backend/src/modules/admin/admin.controller.ts:479)
admin-app/web-admin/src/pages/admin/users-management.tsx	123	POST	/admin/users/${id}/unban	/admin/users/:id/unban	PASS_MATCHED	POST /admin/users/:userId/unban (backend/src/modules/admin/admin.controller.ts:495)
admin-app/web-admin/src/pages/admin/users-management.tsx	148	POST	/admin/providers/${accountId}/${action}	/admin/providers/:id/:id	UNMATCHED_API_REVIEW	
admin-app/web-admin/src/pages/admin/users-management.tsx	166	DELETE	/admin/users/${id}	/admin/users/:id	PASS_MATCHED	DELETE /admin/users/:userId (backend/src/modules/admin/admin.controller.ts:511)
patient-app/nabd_plus/app/(auth)/forgot-password.tsx	33	POST	/auth/send-otp	/auth/send-otp	PASS_MATCHED	POST /auth/send-otp (backend/src/modules/auth/auth.controller.ts:192)
patient-app/nabd_plus/app/(auth)/login.tsx	91	POST	/auth/social-login	/auth/social-login	PASS_MATCHED	POST /auth/social-login (backend/src/modules/auth/auth.controller.ts:217)
patient-app/nabd_plus/app/(auth)/login.tsx	151	POST	/auth/login	/auth/login	PASS_MATCHED	POST /auth/login (backend/src/modules/auth/auth.controller.ts:59)
patient-app/nabd_plus/app/(auth)/otp.tsx	70	POST	/auth/verify-otp	/auth/verify-otp	PASS_MATCHED	POST /auth/verify-otp (backend/src/modules/auth/auth.controller.ts:200)
patient-app/nabd_plus/app/(auth)/otp.tsx	90	POST	/auth/register	/auth/register	PASS_MATCHED	POST /auth/register (backend/src/modules/auth/auth.controller.ts:52)
patient-app/nabd_plus/app/(auth)/register.tsx	112	POST	/auth/social-login	/auth/social-login	PASS_MATCHED	POST /auth/social-login (backend/src/modules/auth/auth.controller.ts:217)
patient-app/nabd_plus/app/(auth)/register.tsx	168	POST	/auth/send-otp	/auth/send-otp	PASS_MATCHED	POST /auth/send-otp (backend/src/modules/auth/auth.controller.ts:192)
patient-app/nabd_plus/app/(auth)/reset-password.tsx	34	POST	/auth/reset-password	/auth/reset-password	PASS_MATCHED	POST /auth/reset-password (backend/src/modules/auth/auth.controller.ts:208)
patient-app/nabd_plus/app/(auth)/welcome.tsx	28	POST	/auth/guest	/auth/guest	PASS_MATCHED	POST /auth/guest (backend/src/modules/auth/auth.controller.ts:85)
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	89	GET	/providers?type=doctor	/providers	PASS_MATCHED	GET /providers (backend/src/modules/providers/providers.controller.ts:20)
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	116	GET	/care/specialties	/care/specialties	PASS_MATCHED	GET /care/specialties (backend/src/modules/care/care.controller.ts:11)
