component	file	line	endpoints	classification	marker
patient	patient-app/app/(auth)/register.tsx	217		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => router.back()} style={[styles.backBtn, { backgroundColor: resolveColor('var(--s)', isDark), borderColor: resolveColor('var(--bd)', isDark) } ]}>
patient	patient-app/app/(auth)/register.tsx	274		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setAgreed(!agreed)} style={{ flexDirection: isRTL ? 'row-reverse' : 'row', alignItems: 'flex-start', flexShrink: 0 }} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	280	/(auth	WIRED_CANDIDATE	أوافق على <Text onPress={() => router.push('/(auth)/terms')} style={{ color: resolveColor('var(--p)', isDark), fontWeight: '800' }}>الشروط والأحكام</Text> و
patient	patient-app/app/(auth)/register.tsx	291		UI_ACTION_REVIEW	onPress={handleRegister}
patient	patient-app/app/(auth)/register.tsx	307		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('google')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	313		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('apple')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	319		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('snapchat')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	324		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => handleSocialLogin('twitter')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>
patient	patient-app/app/(auth)/register.tsx	331	/(auth	WIRED_CANDIDATE	<TouchableOpacity onPress={() => router.push('/(auth)/login')}>
patient	patient-app/app/(auth)/reset-password.tsx	16		UI_ACTION_REVIEW	"import { apiFetch } from ""../../src/utils/api"";"
patient	patient-app/app/(auth)/reset-password.tsx	33	/auth/reset-password	WIRED_CANDIDATE	"await apiFetch(""/auth/reset-password"", {"
