file	line	method	endpoint	source
patient-app/app/diagnostics/lab/[id].tsx	28	GET	/labs/services?providerId=${id}	apiFetch
patient-app/app/diagnostics/order/[id].tsx	36	POST	/orders/mine	apiFetch
patient-app/app/diagnostics/order/[id].tsx	54	POST	/orders/mine	apiFetch
patient-app/app/diagnostics/order/[id].tsx	69	GET	/orders/mine	apiFetch
patient-app/app/diagnostics/orders.tsx	28	GET	/labs/bookings/mine	apiFetch
patient-app/app/diagnostics/package-detail.tsx	26	GET	/labs/packages/${id}	apiFetch
patient-app/app/diagnostics/packages.tsx	27	GET	/labs/packages	apiFetch
patient-app/app/diagnostics/packages.tsx	28	GET	/labs/categories	apiFetch
patient-app/app/diagnostics/search.tsx	28	GET	/labs/services	apiFetch
patient-app/app/diagnostics/technician-tracking.tsx	34	GET	/labs/bookings/${bookingId}	apiFetch
patient-app/app/drug-scanner/index.tsx	35	POST	/health/medications	apiFetch
patient-app/app/drug-scanner/index.tsx	47	POST	/ai/drug-interactions	apiFetch
patient-app/app/emergency/sos-active.tsx	24	GET	/emergency/my-active	apiFetch
patient-app/app/emergency/tracking.tsx	31	GET	/emergency/tracking	apiFetch
patient-app/app/family/calendar.tsx	55	GET	/family/calendar	apiFetch
patient-app/app/family/calendar.tsx	84	POST	/family/calendar/event	apiFetch
patient-app/app/family/calendar.tsx	124	DELETE	/family/calendar/event/${id}	apiFetch
patient-app/app/family/chat.tsx	35	GET	/family/chat/messages	apiFetch
patient-app/app/family/hub.tsx	84	GET	/family/members	apiFetch
patient-app/app/family/invite.tsx	28	POST	/family/invite	apiFetch
patient-app/app/family/join.tsx	32	POST	/family/join	apiFetch
patient-app/app/family/member-health.tsx	46	GET	/family/member-health/${memberId}	apiFetch
patient-app/app/family/permission-request.tsx	22	GET	/family/permissions/pending	apiFetch
patient-app/app/family/permission-request.tsx	49	PUT	/family/permissions/respond/${requestInfo._id || requestInfo.id}	apiFetch
patient-app/app/family/permissions.tsx	133	POST	/family/permissions/request	apiFetch
patient-app/app/family/permissions.tsx	165	DELETE	/family/remove-member/${memberId}	apiFetch
patient-app/app/family/shared-calendar.tsx	54	GET	/family/calendar	apiFetch
patient-app/app/family/shared-calendar.tsx	83	POST	/family/calendar/event	apiFetch
patient-app/app/family/shared-calendar.tsx	124	DELETE	/family/calendar/event/${id}	apiFetch
patient-app/app/health/chronic-disease.tsx	26	GET	/health/chronic-diseases	apiFetch
patient-app/app/health/chronic-disease.tsx	27	GET	/health/vitals	apiFetch
patient-app/app/health/chronic-medications.tsx	24	GET	/health/chronic-meds	apiFetch
patient-app/app/health/edit-profile.tsx	95	PATCH	/users/me/profile	apiFetch
patient-app/app/health/emergency-contacts.tsx	36	GET	/health/emergency-contacts	apiFetch
patient-app/app/health/family-hub.tsx	86	POST	/family/my-group	apiFetch
patient-app/app/health/family-hub.tsx	88	POST	/family/members	apiFetch
patient-app/app/health/family-hub.tsx	105	POST	/family/create	apiFetch
patient-app/app/health/medication-reminder-list.tsx	56	GET	/health/medications/reminders	apiFetch
patient-app/app/health/prescriptions.tsx	28	GET	/health/prescriptions	apiFetch
patient-app/app/health/refills.tsx	30	GET	/medical-profile	apiFetch
patient-app/app/health/reminders.tsx	44	POST	/health/reminders	apiFetch
patient-app/app/health/reminders.tsx	62	POST	/health/reminders/${id}/log	apiFetch
patient-app/app/health/reports.tsx	27	GET	/health/reports	apiFetch
patient-app/app/health/trends.tsx	139	GET	/health/trends	apiFetch
patient-app/app/health/vitals-log.tsx	56	GET	/health/vitals/chart?vital=${vital}	apiFetch
patient-app/app/health/vitals-log.tsx	57	GET	/health/vitals/recent?vital=${vital}	apiFetch
patient-app/app/health/vitals-log.tsx	95	POST	/health/vitals	apiFetch
patient-app/app/health/vitals.tsx	87	GET	/health/vitals/summary	apiFetch
patient-app/app/health/wearables.tsx	37	GET	/health/wearables/devices	apiFetch
patient-app/app/health/wearables.tsx	38	GET	/health/wearables/data	apiFetch
patient-app/app/insurance/add-policy.tsx	33	GET	/insurance/companies	apiFetch
patient-app/app/insurance/benefits-summary.tsx	21	GET	/insurance/benefits-summary	apiFetch
patient-app/app/insurance/claim-tracking.tsx	30	GET	/api/v1/insurance/claims/my	apiFetch
patient-app/app/insurance/copay.tsx	32	POST	/provider/jobs/insurance-copay	apiFetch
patient-app/app/insurance/hub.tsx	101	GET	/users/me/insurance	apiFetch
patient-app/app/insurance/hub.tsx	128	GET	/insurance/claims	apiFetch
patient-app/app/insurance/hub.tsx	167	POST	/insurance/save-policy	apiFetch
patient-app/app/insurance/payment-split.tsx	46	GET	/insurance/coverage-check?service_type=${SERVICE.serviceType}	apiFetch
patient-app/app/insurance/payment-split.tsx	79	POST	/insurance/payment-confirm	apiFetch
patient-app/app/insurance/submit-claim.tsx	32	POST	/insurance/claims/submit	apiFetch
patient-app/app/loyalty/challenges.tsx	28	GET	/loyalty/challenges	apiFetch
patient-app/app/loyalty/hub.tsx	53	GET	/loyalty/account	apiFetch
patient-app/app/loyalty/hub.tsx	57	GET	/loyalty/transactions?page=1	apiFetch
patient-app/app/loyalty/hub.tsx	60	GET	/loyalty/config	apiFetch
patient-app/app/loyalty/hub.tsx	66	GET	/loyalty/rewards	apiFetch
patient-app/app/loyalty/rewards.tsx	37	GET	/loyalty/account	apiFetch
patient-app/app/loyalty/rewards.tsx	40	GET	/loyalty/rewards	apiFetch
patient-app/app/loyalty/rewards.tsx	66	POST	/loyalty/rewards/${reward.id}/claim	apiFetch
patient-app/app/map/index.tsx	170	GET	/providers/map?${query.toString()}	apiFetch
patient-app/app/map/index.tsx	206	GET	/user/insurance	apiFetch
patient-app/app/maternity/baby-development.tsx	358	GET	/maternity/profile	apiFetch
patient-app/app/maternity/baby-growth.tsx	51	POST	/maternity/infant-growth	apiFetch
patient-app/app/maternity/baby-growth.tsx	80	GET	/maternity/profile	apiFetch
patient-app/app/maternity/baby-growth.tsx	92	GET	/maternity/vaccines	apiFetch
patient-app/app/maternity/hub.tsx	64	GET	/maternity/content	apiFetch
patient-app/app/maternity/hub.tsx	66	GET	/maternity/profile	apiFetch
patient-app/app/maternity/hub.tsx	199	POST	/maternity/profile	apiFetch
patient-app/app/maternity/hub.tsx	224	PUT	/maternity/checkups/${encodeURIComponent(week)}/toggle	apiFetch
patient-app/app/maternity/maternity-setup.tsx	176	POST	/maternity/profile	apiFetch
patient-app/app/maternity/ovulation-tracker.tsx	230	POST	/maternity/profile	apiFetch
patient-app/app/maternity/pregnancy-tracker.tsx	45	GET	/maternity/profile	apiFetch
patient-app/app/maternity/pregnancy-tracker.tsx	95	POST	/maternity/kicks	apiFetch
patient-app/app/maternity/pregnancy-tracker.tsx	130	POST	/maternity/contractions	apiFetch
patient-app/app/maternity/pregnancy-tracker.tsx	154	PUT	/maternity/checkups/${encodeURIComponent(week)}/toggle	apiFetch
patient-app/app/mental-health/breathing.tsx	63	POST	/mental-health/breathing	apiFetch
patient-app/app/mental-health/crisis-support.tsx	36	GET	/mental-health/crisis-contacts	apiFetch
patient-app/app/mental-health/crisis-support.tsx	40	GET	/mental-health/hotlines	apiFetch
patient-app/app/mental-health/meditation.tsx	42	GET	/mental-health/meditation/sessions	apiFetch
patient-app/app/mental-health/meditation.tsx	69	POST	/mental-health/meditation	apiFetch
patient-app/app/mental-health/mood-journal.tsx	46	POST	/mental-health/mood?days=7	apiFetch
patient-app/app/mental-health/mood-journal.tsx	59	POST	/mental-health/mood	apiFetch
patient-app/app/mental-health/self-assessment.tsx	26	GET	/mental-health/assessment-questions	apiFetch
patient-app/app/mental-health/self-assessment.tsx	48	POST	/mental-health/assessment	apiFetch
patient-app/app/nursing/live-tracking.tsx	83	GET	/nursing/visits/${bookingId}/tracking	apiFetch
patient-app/app/nursing/nurse-profile.tsx	81	POST	/home-care/providers/${nurseId}	apiFetch
patient-app/app/nursing/nurse-profile.tsx	85	POST	/home-care/insurance/verify	apiFetch
patient-app/app/nursing/nurse-profile.tsx	121	POST	/home-care/bookings	apiFetch
patient-app/app/nursing/service-details.tsx	44	GET	"/home-care/providers?type=${serviceId}&sort=${sortType}&gender=${gender || ""any""}&availability=${availability || ""any""}&nationality=${nationality || ""any""}&search=${search || """"}"	apiFetch
patient-app/app/nutrition/ai-plan-builder.tsx	63	POST	/nutrition/profile	apiFetch
patient-app/app/nutrition/body-composition.tsx	27	GET	/nutrition/profile	apiFetch
patient-app/app/nutrition/body-target.tsx	34	POST	/nutrition/profile	apiFetch
patient-app/app/nutrition/body-target.tsx	47	POST	/nutrition/profile	apiFetch
patient-app/app/nutrition/calorie-analyzer.tsx	61	POST	/nutrition/meals	apiFetch
patient-app/app/nutrition/daily-tracker.tsx	57	POST	/nutrition/water	apiFetch
patient-app/app/nutrition/food-scanner.tsx	70	POST	/nutrition/meals	apiFetch
patient-app/app/nutrition/log-meal.tsx	41	POST	/nutrition/foods	apiFetch
patient-app/app/nutrition/log-meal.tsx	59	POST	/nutrition/meals	apiFetch
patient-app/app/nutrition/water-tracker.tsx	57	POST	/nutrition/water	apiFetch
patient-app/app/pharmacy/barcode-scanner.tsx	25	GET	/patient/pharmacy/medicines/barcode/${encodeURIComponent(data)}	apiFetch
patient-app/app/pharmacy/broadcast-status.tsx	51	GET	/orders/bids/request/${requestId || 'default'}	apiFetch
patient-app/app/pharmacy/broadcast-status.tsx	66	GET	/orders/bids/${pharmacyId}/accept	apiFetch
patient-app/app/pharmacy/chat-with-pharmacist.tsx	54	GET	/chat/history?orderId=${orderId || 'default'}	apiFetch
patient-app/app/pharmacy/checkout.tsx	44	GET	/users/me/profile	apiFetch
patient-app/app/pharmacy/checkout.tsx	117	POST	/patient/pharmacy/orders	apiFetch
patient-app/app/pharmacy/checkout.tsx	120	POST	/patient/pharmacy/orders/${encodeURIComponent(orderId)}/submit	apiFetch
patient-app/app/pharmacy/drug-not-found.tsx	38	GET	/patient/pharmacy/shortage-flags/lookup?generic_name=${encodeURIComponent(name)}	apiFetch
patient-app/app/pharmacy/filters.tsx	69	GET	/medicines/filters	apiFetch
patient-app/app/pharmacy/medicine-compare.tsx	36	GET	/medicines/compare	apiFetch
patient-app/app/pharmacy/order-confirm.tsx	41	POST	/orders/${orderId}	apiFetch
patient-app/app/pharmacy/order-confirm.tsx	56	POST	/orders/${orderId}/approve-basket	apiFetch
patient-app/app/pharmacy/order-confirm.tsx	68	POST	/orders/${orderId}/reject-basket	apiFetch
patient-app/app/pharmacy/order-history.tsx	53	GET	/orders/mine	apiFetch
patient-app/app/pharmacy/order-tracking.tsx	70	GET	/orders/${orderIdStr}/tracking	apiFetch
patient-app/app/pharmacy/payment.tsx	48	GET	/payments/paymob/methods	apiFetch
patient-app/app/pharmacy/payment.tsx	49	GET	/patient/pharmacy/orders/${encodeURIComponent(orderId)}	apiFetch
patient-app/app/pharmacy/payment.tsx	71	POST	/payments/paymob/initiate	apiFetch
patient-app/app/pharmacy/product-detail.tsx	79	GET	/medicines/${id}	apiFetch
patient-app/app/pharmacy/product-detail.tsx	111	GET	/medicines/${id}/alternatives	apiFetch
patient-app/app/pharmacy/reorder.tsx	27	GET	/orders/${orderId}	apiFetch
patient-app/app/pharmacy/reorder.tsx	57	GET	/orders/${orderId}/reorder	apiFetch
patient-app/app/pharmacy/reorder.tsx	59	GET	/orders/${orderId}/reorder-partial	apiFetch
patient-app/app/pharmacy/rx-order.tsx	30	GET	/cart/prescription	apiFetch
patient-app/app/pharmacy/scan-prescription.tsx	77	POST	/ai/prescription-ocr	apiFetch
patient-app/app/pharmacy/waiting-for-pharmacy.tsx	94	GET	/orders/${orderId}	apiFetch
patient-app/app/pharmacy/waiting-for-pharmacy.tsx	130	POST	/orders/${orderId}/cancel	apiFetch
patient-app/app/pharmacy/wishlist.tsx	33	GET	/users/me/wishlist	apiFetch
patient-app/app/pharmacy/wishlist.tsx	42	GET	/users/me/wishlist/${id}	apiFetch
patient-app/app/profile/addresses.tsx	27	PATCH	/users/me/addresses	apiFetch
patient-app/app/profile/addresses.tsx	42	PATCH	/users/me/addresses/${id}	apiFetch
patient-app/app/profile/insurance.tsx	26	GET	/users/me/insurance	apiFetch
patient-app/app/profile/insurance.tsx	165	POST	/users/me/insurance	apiFetch
patient-app/app/programs/active.tsx	34	GET	/medical/programs/active	apiFetch
patient-app/app/programs/active.tsx	60	POST	/medical/programs/complete-session	apiFetch
patient-app/app/reports/passport.tsx	37	GET	/medical-profile	apiFetch
patient-app/app/reports/passport.tsx	38	GET	/patients/passport	apiFetch
patient-app/app/reports/timeline.tsx	42	GET	/reports/timeline	apiFetch
patient-app/app/reports/view-report.tsx	40	GET	/reports/${params.id}	apiFetch
patient-app/app/returns/new-request.tsx	68	POST	/pharmacy/returns	apiFetch
patient-app/app/search/index.tsx	38	GET	/home/search?q=${encodeURIComponent(query)}	apiFetch
patient-app/app/settings/feedback.tsx	38	POST	/support/feedback	apiFetch
patient-app/app/settings/notifications-settings.tsx	108	PATCH	/users/me/notification-settings	apiFetch
patient-app/app/settings/privacy.tsx	45	PATCH	/users/me/privacy-settings	apiFetch
patient-app/app/settings/security.tsx	52	PATCH	/users/me/security-settings	apiFetch
patient-app/app/settings/security.tsx	57	PATCH	/users/me/security-settings	apiFetch
patient-app/app/settings/security.tsx	67	POST	/users/me/change-password	apiFetch
patient-app/app/shared/location-picker.tsx	80	GET	/users/me/addresses	apiFetch
patient-app/app/shared/location-picker.tsx	168	POST	/users/me/addresses	apiFetch
patient-app/app/wallet/cards.tsx	64	GET	/wallet/cards	apiFetch
patient-app/app/wallet/cards.tsx	105	DELETE	/wallet/cards/${cardId}	apiFetch
patient-app/app/wallet/cards.tsx	346	POST	/wallet/cards	apiFetch
patient-app/app/wallet/cards.tsx	361	POST	/wallet/cards	apiFetch
patient-app/app/wallet/hub.tsx	95	GET	/wallet/spending-data	apiFetch
patient-app/app/wallet/topup.tsx	45	POST	/wallet/topup	apiFetch
patient-app/app/wallet/transactions.tsx	38	GET	/wallet/transactions	apiFetch
patient-app/app/wallet/transfer.tsx	61	POST	/wallet/transfer	apiFetch
patient-app/src/context/CartContext.tsx	50	GET	/cart	apiFetch
patient-app/src/context/CartContext.tsx	86	POST	/cart/lines	apiFetch
patient-app/src/context/CartContext.tsx	132	DELETE	/cart/lines/${item.line_id}	apiFetch
patient-app/src/context/CartContext.tsx	152	DELETE	/cart/lines/${item.line_id}	apiFetch
patient-app/src/context/CartContext.tsx	154	PATCH	/cart/lines/${item.line_id}	apiFetch
patient-app/src/context/CartContext.tsx	169	POST	/cart/clear	apiFetch
patient-app/src/context/ConsultationsContext.tsx	24	GET	/care/appointments	apiFetch
