file	line	method	endpoint	source
admin-app/web-admin/src/pages/admin/security.tsx	30	POST	/auth/passkey/devices	apiFetch
admin-app/web-admin/src/pages/admin/security.tsx	45	POST	/auth/passkey/enroll/options	apiFetch
admin-app/web-admin/src/pages/admin/security.tsx	48	POST	/auth/passkey/enroll/verify	apiFetch
admin-app/web-admin/src/pages/admin/security.tsx	69	DELETE	/auth/passkey/devices/${encodeURIComponent(credentialId)}	apiFetch
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	23	POST	/medicines/admin/shortage-reports?status=${tab}&page=${page}&limit=20	apiFetch
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	40	POST	/medicines/admin/shortage-reports/${reportId}/${action}	apiFetch
admin-app/web-admin/src/pages/admin/shortage-reports.tsx	54	POST	/medicines/admin/catalog/${medicineId}/clear-shortage-badge	apiFetch
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	42	POST	/emergency/active	apiFetch
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	63	POST	/emergency/${id}/assign	apiFetch
admin-app/web-admin/src/pages/admin/sos-monitor.tsx	70	POST	/emergency/${id}/resolve	apiFetch
admin-app/web-admin/src/pages/admin/support-tickets.tsx	30	PATCH	/support/admin/requests${filter ?	apiFetch
admin-app/web-admin/src/pages/admin/support-tickets.tsx	43	PATCH	/support/admin/requests/${id}	apiFetch
admin-app/web-admin/src/pages/admin/support-tickets.tsx	51	POST	/support/requests/${id}/reply	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	58	GET	/admin/users/${id}/overview?days=${days}	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	64	GET	/admin/providers/by-user/${id}	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	75	GET	/admin/users/${viewUser.id || viewUser._id}/overview?days=${days}	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	86	GET	/admin/users?${params.toString()}	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	109	POST	/admin/users/${id}/ban	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	123	POST	/admin/users/${id}/unban	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	148	POST	/admin/providers/${accountId}/${action}	apiFetch
admin-app/web-admin/src/pages/admin/users-management.tsx	166	DELETE	/admin/users/${id}	apiFetch
patient-app/nabd_plus/app/(auth)/forgot-password.tsx	33	POST	/auth/send-otp	apiFetch
patient-app/nabd_plus/app/(auth)/login.tsx	91	POST	/auth/social-login	apiFetch
patient-app/nabd_plus/app/(auth)/login.tsx	151	POST	/auth/login	apiFetch
patient-app/nabd_plus/app/(auth)/otp.tsx	70	POST	/auth/verify-otp	apiFetch
patient-app/nabd_plus/app/(auth)/otp.tsx	90	POST	/auth/register	apiFetch
patient-app/nabd_plus/app/(auth)/register.tsx	112	POST	/auth/social-login	apiFetch
patient-app/nabd_plus/app/(auth)/register.tsx	168	POST	/auth/send-otp	apiFetch
patient-app/nabd_plus/app/(auth)/reset-password.tsx	34	POST	/auth/reset-password	apiFetch
patient-app/nabd_plus/app/(auth)/welcome.tsx	28	POST	/auth/guest	apiFetch
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	89	GET	/providers?type=doctor	apiFetch
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	116	GET	/care/specialties	apiFetch
patient-app/nabd_plus/app/(tabs)/consultations/index.tsx	122	GET	/home/offers	apiFetch
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	59	GET	/labs/packages	apiFetch
patient-app/nabd_plus/app/(tabs)/diagnostics.tsx	60	GET	/labs/services	apiFetch
