component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/(tabs)/health.tsx	97	/health/vitals/summary	/health/vitals/summary	MATCHED_ROUTE	GET /health/vitals/summary (backend/src/modules/health/health.controller.ts:19)|PATCH /health/vitals/:id (backend/src/modules/health/health.controller.ts:23)|DELETE /health/vitals/:id (backend/src/modules/health/health.controller.ts:25)
patient	patient-app/app/(tabs)/health.tsx	98	/users/me/profile	/users/me/profile	MATCHED_ROUTE	GET /users/me/profile (backend/src/modules/users/users.controller.ts:11)|PATCH /users/me/profile (backend/src/modules/users/users.controller.ts:16)
patient	patient-app/app/(tabs)/health.tsx	99	/home/upcoming-appointment	/home/upcoming-appointment	MATCHED_ROUTE	GET /home/upcoming-appointment (backend/src/modules/home/home.controller.ts:15)
patient	patient-app/app/(tabs)/health.tsx	144	/health/health-id	/health/health-id	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/health.tsx	155	/health/edit-profile	/health/edit-profile	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/health.tsx	205	/health/vitals	/health/vitals	MATCHED_ROUTE	GET /health/vitals (backend/src/modules/health/health.controller.ts:12)|POST /health/vitals (backend/src/modules/health/health.controller.ts:21)
patient	patient-app/app/(tabs)/health.tsx	215	/health/vitals	/health/vitals	MATCHED_ROUTE	GET /health/vitals (backend/src/modules/health/health.controller.ts:12)|POST /health/vitals (backend/src/modules/health/health.controller.ts:21)
patient	patient-app/app/(tabs)/health.tsx	262	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/health.tsx	291	/consultations/appointments	/consultations/appointments	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/index.tsx	84	/home/offers	/home/offers	MATCHED_ROUTE	GET /home/offers (backend/src/modules/home/home.controller.ts:10)
patient	patient-app/app/(tabs)/index.tsx	85	/home/upcoming-appointment	/home/upcoming-appointment	MATCHED_ROUTE	GET /home/upcoming-appointment (backend/src/modules/home/home.controller.ts:15)
patient	patient-app/app/(tabs)/index.tsx	86	/users/me/profile	/users/me/profile	MATCHED_ROUTE	GET /users/me/profile (backend/src/modules/users/users.controller.ts:11)|PATCH /users/me/profile (backend/src/modules/users/users.controller.ts:16)
patient	patient-app/app/(tabs)/index.tsx	189	/search	/search	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/(tabs)/nursing.tsx	54	/home-care/services	/home-care/services	UNMATCHED_ROUTE_REVIEW	
