POST /api/v1/radiology/bookings/finalize-scan/{id} | RadiologyController_finalizeScan_v1 | body= False | responses= 201
GET /api/v1/radiology/services | RadiologyController_services_v1 | body= False | responses= 200
GET /api/v1/radiology/modalities | RadiologyController_modalities_v1 | body= False | responses= 200
GET /api/v1/radiology/services/{id} | RadiologyController_one_v1 | body= False | responses= 200
POST /api/v1/radiology/bookings/{id}/cancel | RadiologyController_cancel_v1 | body= False | responses= 201
PATCH /api/v1/radiology/bookings/{id}/state | RadiologyController_transition_v1 | body= False | responses= 200
POST /api/v1/radiology/bookings/{id}/publish-report | RadiologyController_publish_v1 | body= False | responses= 201
GET /api/v1/radiology/reports/mine | RadiologyController_myReports_v1 | body= False | responses= 200
POST /api/v1/radiology/bookings/{id}/documents | RadiologyController_uploadDoc_v1 | body= False | responses= 201
PATCH /api/v1/radiology/bookings/{id}/insurance | RadiologyController_updateIns_v1 | body= False | responses= 200
POST /api/v1/radiology/bookings/{id}/assign-technician | RadiologyController_assignTech_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/upload-report | RadiologyController_uploadReport_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/checkin | RadiologyController_checkin_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/start-scan | RadiologyController_startScan_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/abort | RadiologyController_abortScan_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/submit-report-for-review | RadiologyController_submitForReview_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/approve-report | RadiologyController_approveReport_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/insurance-approval | RadiologyController_insuranceApproval_v1 | body= False | responses= 201
PATCH /api/v1/radiology/bookings/{id}/reschedule | RadiologyController_reschedule_v1 | body= False | responses= 200
GET /api/v1/radiology/bookings/{id}/tracking | RadiologyController_tracking_v1 | body= False | responses= 200
POST /api/v1/radiology/catalog/delta-request | RadiologyController_catalogDeltaRequest_v1 | body= False | responses= 201
POST /api/v1/radiology/bookings/{id}/confirm-preparation | RadiologyController_confirmPrep_v1 | body= False | responses= 201
POST /api/v1/patient/pharmacy/orders | PatientPharmacyController_create_v1 | body= False | responses= 201
GET /api/v1/patient/pharmacy/orders | PatientPharmacyController_list_v1 | body= False | responses= 200
GET /api/v1/patient/pharmacy/orders/{id} | PatientPharmacyController_detail_v1 | body= False | responses= 200
PATCH /api/v1/patient/pharmacy/orders/{id} | PatientPharmacyController_update_v1 | body= False | responses= 200
POST /api/v1/patient/pharmacy/orders/{id}/submit | PatientPharmacyController_submit_v1 | body= False | responses= 201
POST /api/v1/patient/pharmacy/orders/{id}/cancel | PatientPharmacyController_cancel_v1 | body= False | responses= 201
GET /api/v1/patient/pharmacy/shortage-flags/lookup | PatientShortageController_lookup_v1 | body= False | responses= 200
GET /api/v1/insurance/companies | InsuranceFlowController_companies_v1 | body= False | responses= 200
POST /api/v1/insurance/companies | InsuranceController_createCompany_v1 | body= False | responses= 201
GET /api/v1/insurance/companies/all | InsuranceController_allCompanies_v1 | body= False | responses= 200
PATCH /api/v1/insurance/companies/{id} | InsuranceController_updateCompany_v1 | body= False | responses= 200
DELETE /api/v1/insurance/companies/{companyId}/networks/{networkId} | InsuranceController_deleteNetwork_v1 | body= False | responses= 200
GET /api/v1/insurance/companies/{companyId}/networks | InsuranceController_networks_v1 | body= False | responses= 200
POST /api/v1/insurance/companies/{companyId}/networks | InsuranceController_createNetwork_v1 | body= False | responses= 201
GET /api/v1/insurance/networks/{networkId}/rules | InsuranceController_rules_v1 | body= False | responses= 200
POST /api/v1/insurance/networks/{networkId}/rules | InsuranceController_createRule_v1 | body= False | responses= 201
GET /api/v1/insurance/coverage-check | InsuranceFlowController_coverageCheck_v1 | body= False | responses= 200
POST /api/v1/insurance/ocr-extract | InsuranceController_ocrExtract_v1 | body= False | responses= 201
POST /api/v1/insurance/upload-policy | InsuranceController_uploadPolicy_v1 | body= False | responses= 201
