path	bytes	no_go	security	payment_insurance	runtime_external	data_mock	performance
audit-artifacts/phase0-main-audit/semantic-evidence-provider-lab-dashboard.md	1496	0	3	5	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-provider-radiology-dashboard.md	1746	0	1	6	0	0	3
audit-artifacts/phase0-main-audit/route-consumer-reconciliation-scan.txt	141982	0	85	140	33	82	71
audit-artifacts/phase0-main-audit/NABD_Audit_Findings_Main_2026-08-24.md	17964	2	48	39	17	4	13
audit-artifacts/phase0-main-audit/semantic-evidence-patient-web-settings.md	1389	0	4	0	1	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-index.md	1629	0	6	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-backend-user-settings.md	1955	0	8	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-security-settings.md	1360	0	6	0	2	0	4
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-privacy-settings.md	1738	0	2	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-notification-settings.md	1372	0	0	0	1	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-notifications-inbox.md	1518	0	1	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-data-management.md	1701	0	1	0	1	0	4
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-language-settings.md	1118	0	0	0	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-profile.md	1574	0	4	4	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-addresses.md	1174	0	0	0	1	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-profile-edit-redirect.md	811	0	2	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-medical-profile-edit.md	1542	0	4	0	0	0	6
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-health-home.md	1806	0	2	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-vitals-summary.md	1185	0	1	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-vitals-log.md	1401	0	1	0	0	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-web-cart.md	1221	0	1	4	1	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-medications.md	1462	0	1	0	2	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-prescriptions.md	1625	0	2	0	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-medication-reminder-add.md	1939	0	0	0	3	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-hub.md	2001	0	3	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-permissions.md	2115	0	4	3	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-member-health.md	1828	0	1	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-invite.md	1808	0	1	0	2	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-join.md	1920	0	1	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-scan.md	1244	0	1	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-permission-request.md	1839	0	1	0	2	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-family-chat.md	1679	0	2	0	2	0	6
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance.md	1722	0	7	8	0	1	6
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-checkout.md	2689	0	5	21	2	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-payment.md	2687	0	5	23	1	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-order-tracking.md	1746	0	2	4	4	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-orders-center.md	2165	0	3	6	2	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-web-checkout-preview.md	1222	0	1	5	1	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-nursing-service-details.md	1914	0	0	1	0	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-order-history.md	2016	0	4	0	6	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-reorder.md	1769	0	3	4	2	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-order-confirm.md	1987	0	2	2	1	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-database-provider.md	1958	0	1	0	3	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-add-policy.md	1847	0	4	7	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-insurance-coverage-check.md	1914	0	9	5	0	0	0
audit-artifacts/phase0-main-audit/mobile-screen-inventory-checkpoint.md	1446	0	2	2	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-reports-hub.md	1739	0	2	0	0	0	4
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-report-detail.md	1602	0	2	0	0	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-report-ai-analysis.md	948	0	2	0	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-returns-hub.md	1851	0	2	9	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-returns-detail.md	1400	0	2	5	0	2	2
